name,key,site,event_id,src_frame,score
SHW__SIron_v1_LS_f12.png,SHW__SIron_v1_LS,SHW,0,12,34.2
SHW__SIron_v1_LS_f348.png,SHW__SIron_v1_LS,SHW,1,348,34.2
TON__OikosRd_v1_LS_f4908.png,TON__OikosRd_v1_LS,TON,8,4908,34.2
MAS__WMarseilles_v2_LS_f8598.png,MAS__WMarseilles_v2_LS,MAS,15,8598,34.1
SHW__NBassett_v1_LS_f17934.png,SHW__NBassett_v1_LS,SHW,38,17934,34.1
SHB__RedFoxLn_v1_LS_f79422.png,SHB__RedFoxLn_v1_LS,SHB,126,79422,34.0
SHW__LowerRichland_v1_LS_f46422.png,SHW__LowerRichland_v1_LS,SHW,129,46422,34.0
SHW__NBassett_v1_LS_f8412.png,SHW__NBassett_v1_LS,SHW,21,8412,34.0
SHW__NIron_v1_LS_f0.png,SHW__NIron_v1_LS,SHW,0,0,34.0
SHW__NIron_v1_LS_f9444.png,SHW__NIron_v1_LS,SHW,21,9444,34.0
MAS__WMarseilles_v2_LS_f8334.png,MAS__WMarseilles_v2_LS,MAS,13,8334,33.9
SHW__Melvin_v1_LS_f7032.png,SHW__Melvin_v1_LS,SHW,8,7032,33.9
SHW__NIron_v1_LS_f3522.png,SHW__NIron_v1_LS,SHW,7,3522,33.9
SHW__SHog_v1_LS_f8766.png,SHW__SHog_v1_LS,SHW,8,8766,33.9
SHW__WhoopieCatDam_v1_LS_f4266.png,SHW__WhoopieCatDam_v1_LS,SHW,10,4266,33.9
TON__NatureTrail_v1_LS_f12834.png,TON__NatureTrail_v1_LS,TON,19,12834,33.9
MAS__EMarseilles_v1_LS_f2556.png,MAS__EMarseilles_v1_LS,MAS,0,2556,33.8
MAS__EMarseilles_v1_LS_f17502.png,MAS__EMarseilles_v1_LS,MAS,13,17502,33.8
SHB__EagleCreekDrEtc_v1_LS_f5676.png,SHB__EagleCreekDrEtc_v1_LS,SHB,10,5676,33.8
SHB__NWolfCreekblue_v1_LS_f52860.png,SHB__NWolfCreekblue_v1_LS,SHB,117,52860,33.8
TON__NatureTrail_v1_LS_f1566.png,TON__NatureTrail_v1_LS,TON,4,1566,33.8
MAS__N25thBlue_v2_LS_f7122.png,MAS__N25thBlue_v2_LS,MAS,5,7122,33.6
MAS__WMarseilles_v2_LS_f5700.png,MAS__WMarseilles_v2_LS,MAS,6,5700,33.6
SHB__NShelbyRdpink_v1_LS_f5550.png,SHB__NShelbyRdpink_v1_LS,SHB,12,5550,33.6
SHB__NWolfCreekorange_v1_LS_f7236.png,SHB__NWolfCreekorange_v1_LS,SHB,12,7236,33.6
TON__NatureTrail_v1_LS_f2814.png,TON__NatureTrail_v1_LS,TON,5,2814,33.6
SHB__NWolfCreekblue_v1_LS_f51036.png,SHB__NWolfCreekblue_v1_LS,SHB,112,51036,33.5
SHW__PleasantHick_v1_LS_f6618.png,SHW__PleasantHick_v1_LS,SHW,16,6618,33.5
SHW__PleasantHick_v1_LS_f50568.png,SHW__PleasantHick_v1_LS,SHW,105,50568,33.5
SHW__PleasantHick_v1_LS_f51882.png,SHW__PleasantHick_v1_LS,SHW,110,51882,33.5
MAS__N2379Rd_v2_LS_f8556.png,MAS__N2379Rd_v2_LS,MAS,23,8556,33.4
MAS__WMarseilles_v2_LS_f4236.png,MAS__WMarseilles_v2_LS,MAS,2,4236,33.4
SHB__NShelbyRdpink_v1_LS_f5976.png,SHB__NShelbyRdpink_v1_LS,SHB,13,5976,33.4
SHB__NWolfCreekblue_v1_LS_f4986.png,SHB__NWolfCreekblue_v1_LS,SHB,16,4986,33.4
SHB__RedFoxLn_v1_LS_f71382.png,SHB__RedFoxLn_v1_LS,SHB,101,71382,33.4
SHW__NIron_v1_LS_f6372.png,SHW__NIron_v1_LS,SHW,14,6372,33.4
SHW__PleasantHick_v1_LS_f5244.png,SHW__PleasantHick_v1_LS,SHW,13,5244,33.3
SHW__Robinson_v1_LS_f13956.png,SHW__Robinson_v1_LS,SHW,33,13956,33.3
TON__OikosRd_v1_LS_f8898.png,TON__OikosRd_v1_LS,TON,14,8898,33.3
MAS__WMarseilles_v2_LS_f30702.png,MAS__WMarseilles_v2_LS,MAS,27,30702,33.2
SHB__NWolfCreekblue_v1_LS_f14994.png,SHB__NWolfCreekblue_v1_LS,SHB,42,14994,33.2
MAS__WMarseilles_v2_LS_f18576.png,MAS__WMarseilles_v2_LS,MAS,22,18576,33.1
SHB__NWolfCreekblue_v1_LS_f4296.png,SHB__NWolfCreekblue_v1_LS,SHB,14,4296,33.1
SHB__NWolfCreekorange_v1_LS_f1668.png,SHB__NWolfCreekorange_v1_LS,SHB,4,1668,33.1
SHW__NBassett_v1_LS_f18534.png,SHW__NBassett_v1_LS,SHW,39,18534,33.1
SHW__PleasantHick_v1_LS_f54384.png,SHW__PleasantHick_v1_LS,SHW,116,54384,33.1
SHB__RedFoxLn_v1_LS_f16986.png,SHB__RedFoxLn_v1_LS,SHB,28,16986,33.0
SHW__PleasantHick_v1_LS_f56232.png,SHW__PleasantHick_v1_LS,SHW,122,56232,33.0
MAS__N25thRdBlue_v1_LS_f14502.png,MAS__N25thRdBlue_v1_LS,MAS,13,14502,32.8
MAS__WMarseilles_v1_LS_f8238.png,MAS__WMarseilles_v1_LS,MAS,7,8238,32.8
SHB__RedFoxLn_v1_LS_f1662.png,SHB__RedFoxLn_v1_LS,SHB,2,1662,32.8
SHW__Melvin_v1_LS_f10470.png,SHW__Melvin_v1_LS,SHW,14,10470,32.8
SHW__NIron_v1_LS_f26850.png,SHW__NIron_v1_LS,SHW,57,26850,32.8
SHW__SBassett_v1_LS_f1038.png,SHW__SBassett_v1_LS,SHW,3,1038,32.8
TON__GiantCityRd_v1_LS_f8340.png,TON__GiantCityRd_v1_LS,TON,23,8340,32.8
TON__NatureTrail_v1_LS_f11478.png,TON__NatureTrail_v1_LS,TON,18,11478,32.8
SHB__RedFoxLn_v1_LS_f50226.png,SHB__RedFoxLn_v1_LS,SHB,73,50226,32.7
SHW__SIron_v1_LS_f7662.png,SHW__SIron_v1_LS,SHW,6,7662,32.7
TON__NatureTrail_v1_LS_f10080.png,TON__NatureTrail_v1_LS,TON,15,10080,32.7
