video,site,track_id,count,touches_n_deer,n_frames,span_s,mean_conf,topk_conf,mean_box_px
AquaCultureRd_TON_12.03.25_LS,TON,2243,0,0,2,0.03,0.0359,0.0359,1110.3
AquaCultureRd_TON_12.03.25_LS,TON,2244,0,0,1,0.02,0.0473,0.0473,768.9
AquaCultureRd_TON_12.03.25_LS,TON,2245,0,0,1,0.02,0.0375,0.0375,2175.3
AquaCultureRd_TON_12.03.25_LS,TON,2246,0,0,1,0.02,0.0715,0.0715,727.7
AquaCultureRd_TON_12.03.25_LS,TON,2247,0,0,1,0.02,0.0525,0.0525,546.2
AquaCultureRd_TON_12.03.25_LS,TON,2248,0,0,1,0.02,0.0401,0.0401,438.1
AquaCultureRd_TON_12.03.25_LS,TON,2249,0,0,1,0.02,0.0788,0.0788,660.2
AquaCultureRd_TON_12.03.25_LS,TON,2250,0,0,1,0.02,0.0219,0.0219,746.1
AquaCultureRd_TON_12.03.25_LS,TON,2251,0,0,7,0.47,0.1404,0.1878,888.9
AquaCultureRd_TON_12.03.25_LS,TON,2252,0,0,1,0.02,0.0436,0.0436,1197.2
AquaCultureRd_TON_12.03.25_LS,TON,2253,0,0,3,0.15,0.038,0.038,2014.9
AquaCultureRd_TON_12.03.25_LS,TON,2254,0,0,1,0.02,0.1112,0.1112,896.1
AquaCultureRd_TON_12.03.25_LS,TON,2255,0,0,3,0.7,0.0256,0.0256,843.9
AquaCultureRd_TON_12.03.25_LS,TON,2256,0,0,1,0.02,0.0224,0.0224,1419.3
AquaCultureRd_TON_12.03.25_LS,TON,2257,0,0,1,0.02,0.0295,0.0295,732.8
AquaCultureRd_TON_12.03.25_LS,TON,2258,0,0,1,0.02,0.0269,0.0269,752.5
AquaCultureRd_TON_12.03.25_LS,TON,2259,0,0,7,0.85,0.0319,0.0363,761.7
