video,key,site,transect,visit,date,side,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,7,7800,9384,130.08,156.5,26.42,198,8238,32.8,0,0,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,8,9444,9888,157.5,164.91,7.4,29,9444,30.4,0,30,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,9,9972,10050,166.31,167.61,1.3,10,9984,21.3,0,171,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,10,10404,10434,173.51,174.01,0.5,3,10434,28.4,55,432,590,476
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,11,10518,10530,175.41,175.61,0.2,2,10530,20.8,152,508,598,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,12,10704,10752,178.51,179.31,0.8,4,10704,24.0,467,500,636,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,13,10956,11046,182.72,184.22,1.5,15,11028,32.4,17,185,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,14,11160,11280,186.12,188.12,2.0,8,11268,26.8,121,118,597,478
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,15,11544,11658,192.52,194.42,1.9,7,11550,28.5,36,300,512,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,16,11718,11952,195.43,199.33,3.9,32,11880,25.7,0,91,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,17,12030,12192,200.63,203.33,2.7,24,12078,28.0,0,259,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,18,12384,12684,206.53,211.54,5.0,36,12528,36.1,4,193,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,19,12834,14052,214.04,234.35,20.31,195,13806,36.6,0,208,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,20,14994,15030,250.06,250.66,0.6,2,14994,25.3,470,160,624,350
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,21,15090,15156,251.66,252.76,1.1,12,15102,26.6,0,271,346,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,22,15468,15714,257.97,262.07,4.1,18,15480,28.3,0,31,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,23,15780,15918,263.17,265.47,2.3,14,15816,25.9,17,288,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,24,16020,16212,267.17,270.37,3.2,23,16200,22.3,0,71,638,460
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,25,16416,16434,273.78,274.08,0.3,3,16428,21.1,0,356,385,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,26,16620,16758,277.18,279.48,2.3,12,16758,23.9,0,372,447,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,27,16938,17178,282.48,286.48,4.0,15,17118,24.2,78,0,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,28,17238,17292,287.48,288.38,0.9,9,17292,21.6,0,331,605,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,29,17382,17394,289.89,290.09,0.2,2,17382,22.3,211,397,600,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,30,17562,17568,292.89,292.99,0.1,2,17562,21.8,331,330,409,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,31,17634,17646,294.09,294.29,0.2,3,17640,24.0,96,413,253,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,32,17880,17904,298.19,298.59,0.4,2,17880,21.8,270,20,546,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,33,17982,18012,299.89,300.39,0.5,3,17982,25.9,61,273,582,360
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,34,18240,18282,304.2,304.9,0.7,3,18282,22.4,103,507,301,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,35,18402,18546,306.9,309.3,2.4,15,18504,31.6,0,0,612,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,36,18648,23274,311.0,388.15,77.15,684,19956,40.7,0,0,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,37,23568,23796,393.05,396.85,3.8,20,23616,28.0,0,0,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,38,23922,24168,398.96,403.06,4.1,17,23970,26.2,0,0,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,39,24234,24288,404.16,405.06,0.9,8,24288,24.5,0,0,640,230
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,40,24450,24468,407.76,408.06,0.3,3,24468,19.9,0,293,416,463
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,41,24792,27516,413.47,458.89,45.43,362,25434,32.1,0,0,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,42,27624,27972,460.7,466.5,5.8,24,27624,28.4,0,0,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,43,28038,30000,467.6,500.32,32.72,194,28836,28.9,0,0,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,44,30132,30822,502.52,514.03,11.51,105,30456,47.7,0,157,640,512
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,0,0,132,0.0,2.2,2.2,23,48,29.3,366,191,640,512
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,1,216,240,3.6,4.0,0.4,5,216,26.4,595,176,640,205
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,2,474,522,7.9,8.71,0.8,2,474,20.0,0,45,611,188
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,3,624,666,10.41,11.11,0.7,2,666,21.2,266,172,457,210
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,4,834,1008,13.91,16.81,2.9,9,906,20.6,0,106,553,512
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,5,1146,1488,19.11,24.81,5.7,14,1146,23.6,0,0,640,512
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,6,1572,2070,26.22,34.52,8.3,41,1962,23.7,0,87,640,512
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,7,2172,2394,36.22,39.92,3.7,14,2172,25.3,16,379,587,512
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,8,2466,2496,41.12,41.62,0.5,5,2466,24.8,0,414,640,512
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,9,2694,2736,44.93,45.63,0.7,2,2694,20.7,0,289,164,492
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,10,2796,3246,46.63,54.13,7.5,55,2820,34.5,0,70,640,512
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,11,3378,3738,56.33,62.34,6.0,34,3384,29.2,0,6,640,512
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,12,3798,4494,63.34,74.94,11.61,78,3906,32.0,0,0,640,512
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,13,4560,11364,76.04,189.51,113.47,1044,10692,45.2,0,0,640,512
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,14,11460,11814,191.11,197.02,5.9,40,11748,26.6,0,0,640,512
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v2_LS,MAS,N2379Rd,2,12.22.25,LS,0,390,438,6.5,7.3,0.8,9,390,31.7,314,199,632,242
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v2_LS,MAS,N2379Rd,2,12.22.25,LS,1,756,762,12.6,12.7,0.1,2,756,21.5,502,480,592,512
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v2_LS,MAS,N2379Rd,2,12.22.25,LS,2,1494,1596,24.91,26.61,1.7,10,1578,28.9,0,350,640,512
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v2_LS,MAS,N2379Rd,2,12.22.25,LS,3,1710,1878,28.51,31.31,2.8,18,1860,30.9,0,201,337,244
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v2_LS,MAS,N2379Rd,2,12.22.25,LS,4,2100,2322,35.01,38.71,3.7,32,2142,26.2,0,98,640,512
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v2_LS,MAS,N2379Rd,2,12.22.25,LS,5,2406,2430,40.11,40.51,0.4,4,2406,31.5,467,161,616,185
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v2_LS,MAS,N2379Rd,2,12.22.25,LS,6,3156,3168,52.61,52.81,0.2,2,3168,28.3,150,495,339,509
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v2_LS,MAS,N2379Rd,2,12.22.25,LS,7,3678,3690,61.32,61.52,0.2,2,3678,19.4,9,407,531,417
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v2_LS,MAS,N2379Rd,2,12.22.25,LS,8,3858,3864,64.32,64.42,0.1,2,3864,19.7,182,465,640,506
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v2_LS,MAS,N2379Rd,2,12.22.25,LS,9,4068,4086,67.82,68.12,0.3,2,4086,19.6,587,325,640,512
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v2_LS,MAS,N2379Rd,2,12.22.25,LS,10,4938,4998,82.32,83.32,1.0,3,4962,25.2,30,508,113,512
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v2_LS,MAS,N2379Rd,2,12.22.25,LS,11,5064,5070,84.42,84.52,0.1,2,5070,30.7,116,324,167,332
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v2_LS,MAS,N2379Rd,2,12.22.25,LS,12,5166,5274,86.12,87.92,1.8,15,5196,26.9,59,21,640,512
